@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   5 UYIB1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    9208   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  7983  8052  7983 0.572 0.536   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   6 UYIB1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    8395   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  8286  8052  8286 0.572 0.503   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   7 UYIK1701CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    9350   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  7292  8052  7292 0.572 0.562   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   8 UYIK1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    5861   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  6684  8052  6684 0.572 0.467   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   9 UYIK1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   14040   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052 15729  8052 15729 0.572 0.472   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  10 UYKA1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    5941   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  7500  8052  7500 0.572 0.442   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  11 UYMO1701CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   15972   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052 11660  8052 11660 0.572 0.578   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  12 UYMO1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    8618   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  8212  8052  8212 0.572 0.512   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  13 UYMO1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    6059   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  6891  8052  6891 0.572 0.468   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  14 UYON1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    6076   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  3993  8052  3993 0.572 0.603   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
