"Treatment" "HWAM" "CWAM" "LAIX"
"6" "0.790286472941535" "0.379344926631015" "2184.06127565251"
"7" "1.0988041200196" "0.106275922039073" "2184.06127565251"
"8" "0.0169061407638491" "0.0293046931590898" "2184.06127565251"
"9" "0.774172294655257" "0.669743562100182" "2184.06127565251"
"10" "0.0218190923795562" "0.148922831819052" "2184.06127565251"
"11" "0.524434789100615" "1.10746146365561" "2184.06127565251"
"12" "0.877488054263733" "0.354028387592075" "2184.06127565251"
"13" "0.0309797778704405" "0.0481307937782667" "2184.06127565251"
"14" "0.0325066553498898" "3.55281903571832e-11" "2184.06127565251"
"15" "1" "1.55466701208504e-74" "2184.06127565251"
"16" "1.11795007303674" "0.631764095219746" "2184.06127565251"
"17" "0.546015497190995" "3.72209662656263e-07" "2184.06127565251"
"18" "1.21929167291131" "0.00183668224097889" "2184.06127565251"
"19" "0.000543189520376154" "3.72209662656263e-07" "2184.06127565251"
"1" "0.130410387569868" "0.040702867676675" "1218.78295232946"
"2" "0.0692205444994653" "0.98805131952115" "1218.78295232946"
"3" "0.147820613257669" "1.43468537103144" "1218.78295232946"
"4" "0.0442620497612185" "0.341458616761393" "1218.78295232946"
"5" "0.116631192571607" "1.65759392054981" "1218.78295232946"
"6" "0.16120644007614" "1.60433629519793" "1218.78295232946"
"7" "0.110657517684738" "1.66640860322027" "1218.78295232946"
"8" "0.6099776064294" "1.4831025339589" "1218.78295232946"
"9" "0.0307309092351697" "0.238422217307048" "1218.78295232946"
"10" "0.579532949324769" "1.6843403821883" "1218.78295232946"
"11" "0.0214598101707837" "0.703406526880283" "1218.78295232946"
"12" "0.14691521805686" "1.61933600547278" "1218.78295232946"
"13" "0.538036479165685" "1.56902239720637" "1218.78295232946"
"14" "0.532371829029222" "0.00656735707853536" "1218.78295232946"
"15" "1" "2.27975719711432e-26" "1218.78295232946"
"16" "0.051632492245693" "1.42028349075538" "1218.78295232946"
"17" "0.207359475186322" "0.10832133661033" "1218.78295232946"
"18" "0.0736647803509065" "0.92674618166942" "1218.78295232946"
"19" "1.0385805114883" "0.10832133661033" "1218.78295232946"
"1" "0.736676901211254" "0.524779358740505" "2933.87772303583"
"2" "1.13504486668738" "0.652641235508987" "2933.87772303583"
"3" "0.619544897407787" "1.09056025038632" "2933.87772303583"
"4" "1.06768399429299" "0.204470382811436" "2933.87772303583"
"5" "0.837093193918496" "1.4829162314483" "2933.87772303583"
"6" "0.539010745191805" "1.35126666220401" "2933.87772303583"
"7" "0.881704888739321" "1.78308913435057" "2933.87772303583"
"8" "0.00424570395346017" "1.98441503774747" "2933.87772303583"
"9" "0.8511823509121" "0.142701952735643" "2933.87772303583"
"10" "0.00579104507191347" "1.69573360868858" "2933.87772303583"
"11" "0.599957352497592" "0.439277645586898" "2933.87772303583"
"12" "0.625304034903506" "1.38295810062875" "2933.87772303583"
"13" "0.00888198633704138" "1.92887861043447" "2933.87772303583"
"14" "0.00942005837454437" "0.202418134258178" "2933.87772303583"
"15" "1" "5.67437821397524e-16" "2933.87772303583"
"16" "1.12282827694271" "1.07272273754824" "2933.87772303583"
"17" "0.326175622161363" "0.846509289527212" "2933.87772303583"
"18" "1.12006357400279" "1.95271841977655" "2933.87772303583"
"19" "6.7890219504815e-05" "0.846509289527212" "2933.87772303583"
"1" "0.00573728302385432" "1.3492944589679" "2509.47860129004"
"2" "0.112173978806919" "0.473387575919172" "2509.47860129004"
"3" "0.00257087378247066" "0.829377074982058" "2509.47860129004"
"4" "0.370489682173302" "0.146129264378638" "2509.47860129004"
"5" "0.0109965196451952" "1.19946118873738" "2509.47860129004"
"6" "0.00140707455779394" "1.06779263309118" "2509.47860129004"
"7" "0.014639774767653" "1.54897144573681" "2509.47860129004"
"8" "1.92190315823472e-10" "1.89013663244359" "2509.47860129004"
"9" "0.631029347715385" "0.102788929955275" "2509.47860129004"
"10" "4.76223785231087e-10" "1.43729711102702" "2509.47860129004"
"11" "0.771912703896138" "0.314032073942453" "2509.47860129004"
"12" "0.00267905081628747" "1.09866597374746" "2509.47860129004"
"13" "1.68234077489728e-09" "1.77371084580561" "2509.47860129004"
"14" "2.00347683706789e-09" "0.771192518336954" "2509.47860129004"
"15" "1" "3.03662295496023e-11" "2509.47860129004"
"16" "0.264063320855927" "0.813922172259655" "2509.47860129004"
"17" "0.000192614604553245" "1.7395285700003" "2509.47860129004"
"18" "0.089991609022495" "2.25541310801183" "2509.47860129004"
"19" "1.73016698818093e-15" "1.7395285700003" "2509.47860129004"
